
International Seismological Centre
ISC: Focal Mechanism solutions

Any use of data from the ISC should be cited. The correct format for citations may be found on our citation page.

The ISC Bulletin has now been completely rebuilt for the period 1964-2010. As a result, the ISC hypocentre solutions and magnitudes for the entire period of 1964-latest are based on the ak135 velocity model and the location procedure that is currently used in operations. The Bulletin has been cleaned up and a considerable number of previously unavailable data of permanent and temporary seismic deployments have been added.

Once the search has completed, a compressed KML file will be available to view the results in Google Earth.

Make an event map
Search summary:
Database: ISC Bulletin
Search type: Rectangular search
Latitude range: 35 to 39
Longitude range: 139 to 143
Start date: 2012-09-01 00:00:00
End date: 2020-10-01 00:00:00
Events found: 3446

Data on or after 2017/10/01 have not been reviewed by the ISC.

DATA_TYPE FOCAL_MECHANISM_SOLUTIONS
ISC Bulletin
--EVENT--|------------------------------ORIGIN------------------------------|FM AUTHOR|----MOMENT---|-----------MOMENT TENSOR COMPONENTS---------|---------------NODAL PLANES--------------|-----------------------PRINCIPAL AXES-------------------------|
 EVENT_ID,AUTHOR   ,DATE      ,TIME       ,LAT     ,LON      ,DEPTH,CENTROID,AUTHOR   ,EX,MO   ,MW  ,EX,MRR   ,MTT   ,MPP   ,MRT   ,MTP   ,MPR   ,STRIKE,DIP  ,RAKE   ,STRIKE,DIP  ,RAKE   ,EX,T_VAL ,T_PL ,T_AZM ,P_VAL ,P_PL ,P_AZM ,N_VAL ,N_PL ,N_AZM 
603677770,NIED     ,2012-09-20,14:44:00   , 38.1000, 142.7000, 11.0,        ,NIED     ,14,1.460, 3.4,  ,      ,      ,      ,      ,      ,      ,166.00,81.00, -64.00,274.00,27.00,-160.00,  ,      ,     ,      ,      ,     ,      ,      ,     ,      
601782819,NIED     ,2012-09-21,10:08:00   , 38.0000, 142.0000, 50.0,        ,NIED     ,15,1.130, 4.0,  ,      ,      ,      ,      ,      ,      ,171.00,36.00, 121.00,314.00,60.00,  70.00,  ,      ,     ,      ,      ,     ,      ,      ,     ,      
601736474,NIED     ,2012-09-21,19:36:00   , 36.9000, 142.4000, 14.0,        ,NIED     ,15,2.640, 4.2,  ,      ,      ,      ,      ,      ,      ,  7.00,35.00, -98.00,197.00,55.00, -84.00,  ,      ,     ,      ,      ,     ,      ,      ,     ,      
603678559,NIED     ,2012-09-21,21:48:00   , 35.7000, 141.1000,  8.0,        ,NIED     ,14,1.770, 3.4,  ,      ,      ,      ,      ,      ,      , 14.00,60.00, -66.00,152.00,37.00,-125.00,  ,      ,     ,      ,      ,     ,      ,      ,     ,      
601863982,NIED     ,2012-09-22,06:22:00   , 36.7000, 140.6000,  5.0,        ,NIED     ,14,2.310, 3.5,  ,      ,      ,      ,      ,      ,      ,177.00,46.00, -43.00,300.00,60.00,-127.00,  ,      ,     ,      ,      ,     ,      ,      ,     ,      
606034691,NIED     ,2012-09-22,18:24:00   , 38.6000, 142.0000, 44.0,        ,NIED     ,14,6.360, 3.8,  ,      ,      ,      ,      ,      ,      ,148.00,35.00, -21.00,255.00,78.00,-124.00,  ,      ,     ,      ,      ,     ,      ,      ,     ,      
603679157,NIED     ,2012-09-22,20:23:00   , 37.6000, 141.9000, 26.0,        ,NIED     ,14,1.840, 3.4,  ,      ,      ,      ,      ,      ,      ,173.00,79.00, -84.00,326.00,13.00,-117.00,  ,      ,     ,      ,      ,     ,      ,      ,     ,      
603679737,NIED     ,2012-09-24,01:53:00   , 38.9000, 141.9000, 56.0,        ,NIED     ,14,3.300, 3.6,  ,      ,      ,      ,      ,      ,      , 27.00,74.00, 107.00,157.00,23.00,  43.00,  ,      ,     ,      ,      ,     ,      ,      ,     ,      
601864103,NIED     ,2012-09-24,16:12:00   , 36.2000, 139.9000, 56.0,        ,NIED     ,14,2.450, 3.5,  ,      ,      ,      ,      ,      ,      , 56.00,70.00,  96.00,218.00,21.00,  73.00,  ,      ,     ,      ,      ,     ,      ,      ,     ,      
601864103,JMA      ,2012-09-24,16:12:48.00, 36.1300, 139.8400, 49.0,        ,JMA      ,  ,     ,    ,  ,      ,      ,      ,      ,      ,      , 42.00,79.00,  88.00,234.00,11.00, 102.00,  ,      ,56.00,309.00,      ,34.00,134.00,      , 2.00, 42.00
601864106,JMA      ,2012-09-24,17:25:53.20, 35.7400, 139.9400, 83.0,        ,JMA      ,  ,     ,    ,  ,      ,      ,      ,      ,      ,      , 57.00,82.00,-138.00,319.00,48.00, -11.00,  ,      ,22.00,181.00,      ,35.00,287.00,      ,47.00, 65.00
601864115,NIED     ,2012-09-24,20:16:00   , 38.6000, 141.9000, 53.0,        ,NIED     ,14,4.100, 3.7,  ,      ,      ,      ,      ,      ,      , 30.00,75.00, 104.00,166.00,21.00,  48.00,  ,      ,     ,      ,      ,     ,      ,      ,     ,      
601739428,NIED     ,2012-09-25,02:55:00   , 36.7000, 141.2000, 44.0,        ,NIED     ,15,2.450, 4.2,  ,      ,      ,      ,      ,      ,      ,  4.00,79.00, 102.00,138.00,16.00,  45.00,  ,      ,     ,      ,      ,     ,      ,      ,     ,      
